CRIM,INDUS,RM,AGE,DIS,TAX,LSTAT
0.00632,2.31,6.575,65.2,4.09,296,4.98
0.02731,7.07,6.421,78.9,4.9671,242,9.14
0.02729,7.07,7.185,61.1,4.9671,242,4.03
0.03237,2.18,6.998,45.8,6.0622,222,2.94
0.06905,2.18,7.147,54.2,6.0622,222,5.33
0.02985,2.18,,58.7,6.0622,222,5.21
0.08829,7.87,6.012,66.6,5.5605,311,12.43
0.14455,7.87,,96.1,5.9505,311,19.15
0.21124,7.87,5.631,100,6.0821,311,29.93
0.17004,7.87,6.004,85.9,6.5921,311,17.1
0.22489,7.87,,94.3,6.3467,311,20.45
0.11747,7.87,6.009,82.9,6.2267,311,13.27
0.09378,7.87,5.889,39,5.4509,311,15.71
0.62976,8.14,,61.8,4.7075,307,8.26
0.63796,8.14,6.096,84.5,4.4619,307,10.26
0.62739,8.14,5.834,56.5,4.4986,307,8.47
1.05393,8.14,,29.3,4.4986,307,6.58
0.7842,8.14,5.99,81.7,4.2579,307,14.67
0.80271,8.14,5.456,36.6,3.7965,307,11.69
0.7258,8.14,,69.5,3.7965,307,11.28
1.25179,8.14,5.57,98.1,3.7979,307,21.02
0.85204,8.14,5.965,89.2,4.0123,307,13.83
1.23247,8.14,6.142,91.7,3.9769,307,18.72
0.98843,8.14,,100,4.0952,307,19.88
0.75026,8.14,5.924,94.1,4.3996,307,16.3
0.84054,8.14,5.599,85.7,4.4546,307,16.51
0.67191,8.14,,90.3,4.682,307,14.81
0.95577,8.14,6.047,88.8,4.4534,307,17.28
0.77299,8.14,6.495,94.4,4.4547,307,12.8
1.00245,8.14,6.674,87.3,4.239,307,11.98
1.13081,8.14,,94.1,4.233,307,22.6
1.35472,8.14,6.072,100,4.175,307,13.04
1.38799,8.14,5.95,82,3.99,307,27.71
1.15172,8.14,5.701,95,3.7872,307,18.35
1.61282,8.14,,96.9,3.7598,307,20.34
0.06417,5.96,,68.2,3.3603,279,9.68
0.09744,5.96,5.841,61.4,3.3779,279,11.41
0.08014,5.96,5.85,41.5,3.9342,279,8.77
0.17505,5.96,5.966,30.2,3.8473,279,10.13
0.02763,2.95,,21.8,5.4011,252,4.32
0.03359,2.95,7.024,15.8,5.4011,252,1.98
0.12744,6.91,6.77,2.9,5.7209,233,4.84
0.1415,6.91,,6.6,5.7209,233,5.81
0.15936,6.91,6.211,6.5,5.7209,233,7.44
0.12269,6.91,,40,5.7209,233,9.55
0.17142,6.91,5.682,33.8,5.1004,233,10.21
0.18836,6.91,5.786,33.3,5.1004,233,14.15
0.22927,6.91,6.03,85.5,5.6894,233,18.8
0.25387,6.91,5.399,95.3,5.87,233,30.81
0.21977,6.91,,62,6.0877,233,16.2
0.08873,5.64,5.963,45.7,6.8147,243,13.45
0.04337,5.64,6.115,63,6.8147,243,9.43
0.0536,5.64,,21.1,6.8147,243,5.28
0.04981,5.64,5.998,21.4,6.8147,243,8.43
0.0136,4,5.888,47.6,7.3197,469,14.8
0.01311,1.22,,21.9,8.6966,226,4.81
0.02055,0.74,6.383,35.7,9.1876,313,5.77
0.01432,1.32,6.816,40.5,8.3248,256,3.95
0.15445,5.13,6.145,29.2,7.8148,284,6.86
0.10328,5.13,,47.2,6.932,284,9.22
0.14932,5.13,,66.2,7.2254,284,13.15
0.17171,5.13,5.966,93.4,6.8185,284,14.44
0.11027,5.13,6.456,67.8,7.2255,284,6.73
0.1265,5.13,,43.4,7.9809,284,9.5
0.01951,1.38,7.104,59.5,9.2229,216,8.05
0.03584,3.37,6.29,17.8,6.6115,337,4.67
0.04379,3.37,5.787,31.1,6.6115,337,10.24
0.05789,6.07,,21.4,6.498,345,8.1
0.13554,6.07,5.594,36.8,6.498,345,13.09
0.12816,6.07,5.885,33,6.498,345,8.79
0.08826,10.81,,6.6,5.2873,305,6.72
0.15876,10.81,5.961,17.5,5.2873,305,9.88
0.09164,10.81,6.065,7.8,5.2873,305,5.52
0.19539,10.81,6.245,6.2,5.2873,305,7.54
0.07896,12.83,,6,4.2515,398,6.78
0.09512,12.83,6.286,45,4.5026,398,8.94
0.10153,12.83,6.279,74.5,4.0522,398,11.97
0.08707,12.83,,45.8,4.0905,398,10.27
0.05646,12.83,6.232,53.7,5.0141,398,12.34
0.08387,12.83,5.874,36.6,4.5026,398,9.1
0.04113,4.86,,33.5,5.4007,281,5.29
0.04462,4.86,6.619,70.4,5.4007,281,7.22
